Epoch: 1
ISTJ: 0.42038216560509556 (66/157)
ISFJ: 0.4863013698630137 (71/146)
INFJ: 0.5907928388746803 (693/1173)
INTJ: 0.5958668197474167 (519/871)
ISTP: 0.46564885496183206 (122/262)
ISFP: 0.41379310344827586 (84/203)
INFP: 0.6673511293634496 (975/1461)
INTP: 0.4567669172932331 (486/1064)
ESTP: 0.3148148148148148 (17/54)
ESFP: 0.0 (0/34)
ENFP: 0.5569620253164557 (308/553)
ENTP: 0.4574468085106383 (258/564)
ESTJ: 0.0 (0/30)
ESFJ: 0.0 (0/33)
ENFJ: 0.5035971223021583 (70/139)
ENTJ: 0.37755102040816324 (74/196)
Balanced Accuracy: 0.3942046869068267

Epoch: 2
ISTJ: 0.445859872611465 (70/157)
ISFJ: 0.4520547945205479 (66/146)
INFJ: 0.5592497868712702 (656/1173)
INTJ: 0.5648679678530425 (492/871)
ISTP: 0.5076335877862596 (133/262)
ISFP: 0.46798029556650245 (95/203)
INFP: 0.6413415468856948 (937/1461)
INTP: 0.7302631578947368 (777/1064)
ESTP: 0.4074074074074074 (22/54)
ESFP: 0.0 (0/34)
ENFP: 0.5605786618444847 (310/553)
ENTP: 0.5975177304964538 (337/564)
ESTJ: 0.3333333333333333 (10/30)
ESFJ: 0.5151515151515151 (17/33)
ENFJ: 0.4892086330935252 (68/139)
ENTJ: 0.3673469387755102 (72/196)
Balanced Accuracy: 0.4774872018807343

Epoch: 3
ISTJ: 0.4267515923566879 (67/157)
ISFJ: 0.4315068493150685 (63/146)
INFJ: 0.5123614663256607 (601/1173)
INTJ: 0.5419058553386912 (472/871)
ISTP: 0.5305343511450382 (139/262)
ISFP: 0.35960591133004927 (73/203)
INFP: 0.8069815195071869 (1179/1461)
INTP: 0.6917293233082706 (736/1064)
ESTP: 0.42592592592592593 (23/54)
ESFP: 0.11764705882352941 (4/34)
ENFP: 0.41952983725135623 (232/553)
ENTP: 0.46099290780141844 (260/564)
ESTJ: 0.3 (9/30)
ESFJ: 0.5454545454545454 (18/33)
ENFJ: 0.38848920863309355 (54/139)
ENTJ: 0.24489795918367346 (48/196)
Balanced Accuracy: 0.45026964448126217

Epoch: 4
ISTJ: 0.4840764331210191 (76/157)
ISFJ: 0.4657534246575342 (68/146)
INFJ: 0.5745950554134698 (674/1173)
INTJ: 0.5556831228473019 (484/871)
ISTP: 0.4541984732824427 (119/262)
ISFP: 0.45320197044334976 (92/203)
INFP: 0.7351129363449692 (1074/1461)
INTP: 0.5789473684210527 (616/1064)
ESTP: 0.3888888888888889 (21/54)
ESFP: 0.23529411764705882 (8/34)
ENFP: 0.5424954792043399 (300/553)
ENTP: 0.6294326241134752 (355/564)
ESTJ: 0.3333333333333333 (10/30)
ESFJ: 0.5454545454545454 (18/33)
ENFJ: 0.4676258992805755 (65/139)
ENTJ: 0.32142857142857145 (63/196)
Balanced Accuracy: 0.48534514024262043

