Epoch: 1
ISTJ: 0.0 (0/16)
ISFJ: 0.0 (0/16)
INFJ: 0.5714285714285714 (88/154)
INTJ: 0.509090909090909 (56/110)
ISTP: 0.0 (0/41)
ISFP: 0.0 (0/24)
INFP: 0.7978142076502732 (146/183)
INTP: 0.4322033898305085 (51/118)
ESTP: 0.0 (0/4)
ESFP: 0.0 (0/3)
ENFP: 0.45714285714285713 (32/70)
ENTP: 0.55 (44/80)
ESTJ: 0.0 (0/6)
ESFJ: 0.0 (0/3)
ENFJ: 0.0 (0/15)
ENTJ: 0.0 (0/24)
Balanced Accuracy: 0.20735499594644496

Epoch: 2
ISTJ: 0.4375 (7/16)
ISFJ: 0.4375 (7/16)
INFJ: 0.577922077922078 (89/154)
INTJ: 0.6272727272727273 (69/110)
ISTP: 0.5121951219512195 (21/41)
ISFP: 0.4583333333333333 (11/24)
INFP: 0.7213114754098361 (132/183)
INTP: 0.7033898305084746 (83/118)
ESTP: 0.25 (1/4)
ESFP: 0.0 (0/3)
ENFP: 0.5857142857142857 (41/70)
ENTP: 0.575 (46/80)
ESTJ: 0.0 (0/6)
ESFJ: 0.0 (0/3)
ENFJ: 0.4 (6/15)
ENTJ: 0.4166666666666667 (10/24)
Balanced Accuracy: 0.41892534492366384

Epoch: 3
ISTJ: 0.5 (8/16)
ISFJ: 0.5 (8/16)
INFJ: 0.4675324675324675 (72/154)
INTJ: 0.6 (66/110)
ISTP: 0.5365853658536586 (22/41)
ISFP: 0.4583333333333333 (11/24)
INFP: 0.825136612021858 (151/183)
INTP: 0.5677966101694916 (67/118)
ESTP: 0.25 (1/4)
ESFP: 0.0 (0/3)
ENFP: 0.6428571428571429 (45/70)
ENTP: 0.575 (46/80)
ESTJ: 0.0 (0/6)
ESFJ: 0.0 (0/3)
ENFJ: 0.4666666666666667 (7/15)
ENTJ: 0.5833333333333334 (14/24)
Balanced Accuracy: 0.435827595735497

Epoch: 4
ISTJ: 0.4375 (7/16)
ISFJ: 0.5625 (9/16)
INFJ: 0.5324675324675324 (82/154)
INTJ: 0.7454545454545455 (82/110)
ISTP: 0.6829268292682927 (28/41)
ISFP: 0.4583333333333333 (11/24)
INFP: 0.6666666666666666 (122/183)
INTP: 0.4067796610169492 (48/118)
ESTP: 0.25 (1/4)
ESFP: 0.0 (0/3)
ENFP: 0.7428571428571429 (52/70)
ENTP: 0.65 (52/80)
ESTJ: 0.16666666666666666 (1/6)
ESFJ: 0.0 (0/3)
ENFJ: 0.4666666666666667 (7/15)
ENTJ: 0.4583333333333333 (11/24)
Balanced Accuracy: 0.45169702360819564

