Epoch: 1
ISTJ: 0.23076923076923078 (3/13)
ISFJ: 0.0 (0/18)
INFJ: 0.6301369863013698 (92/146)
INTJ: 0.4214876033057851 (51/121)
ISTP: 0.15625 (5/32)
ISFP: 0.0 (0/20)
INFP: 0.6868131868131868 (125/182)
INTP: 0.49635036496350365 (68/137)
ESTP: 0.0 (0/11)
ESFP: 0.0 (0/6)
ENFP: 0.3013698630136986 (22/73)
ENTP: 0.6212121212121212 (41/66)
ESTJ: 0.0 (0/2)
ESFJ: 0.0 (0/8)
ENFJ: 0.2222222222222222 (4/18)
ENTJ: 0.13333333333333333 (2/15)
Balanced Accuracy: 0.2437465569959032

Epoch: 2
ISTJ: 0.3076923076923077 (4/13)
ISFJ: 0.3888888888888889 (7/18)
INFJ: 0.7397260273972602 (108/146)
INTJ: 0.6033057851239669 (73/121)
ISTP: 0.46875 (15/32)
ISFP: 0.4 (8/20)
INFP: 0.46153846153846156 (84/182)
INTP: 0.6131386861313869 (84/137)
ESTP: 0.2727272727272727 (3/11)
ESFP: 0.0 (0/6)
ENFP: 0.6438356164383562 (47/73)
ENTP: 0.5606060606060606 (37/66)
ESTJ: 0.0 (0/2)
ESFJ: 0.0 (0/8)
ENFJ: 0.5 (9/18)
ENTJ: 0.4666666666666667 (7/15)
Balanced Accuracy: 0.4016797358256643

Epoch: 3
ISTJ: 0.38461538461538464 (5/13)
ISFJ: 0.3333333333333333 (6/18)
INFJ: 0.6232876712328768 (91/146)
INTJ: 0.7107438016528925 (86/121)
ISTP: 0.375 (12/32)
ISFP: 0.5 (10/20)
INFP: 0.7087912087912088 (129/182)
INTP: 0.583941605839416 (80/137)
ESTP: 0.2727272727272727 (3/11)
ESFP: 0.0 (0/6)
ENFP: 0.5205479452054794 (38/73)
ENTP: 0.5454545454545454 (36/66)
ESTJ: 0.0 (0/2)
ESFJ: 0.0 (0/8)
ENFJ: 0.4444444444444444 (8/18)
ENTJ: 0.4666666666666667 (7/15)
Balanced Accuracy: 0.4043471174977201

Epoch: 4
ISTJ: 0.3076923076923077 (4/13)
ISFJ: 0.4444444444444444 (8/18)
INFJ: 0.6986301369863014 (102/146)
INTJ: 0.6611570247933884 (80/121)
ISTP: 0.46875 (15/32)
ISFP: 0.45 (9/20)
INFP: 0.5989010989010989 (109/182)
INTP: 0.5109489051094891 (70/137)
ESTP: 0.5454545454545454 (6/11)
ESFP: 0.16666666666666666 (1/6)
ENFP: 0.4657534246575342 (34/73)
ENTP: 0.5757575757575758 (38/66)
ESTJ: 0.5 (1/2)
ESFJ: 0.375 (3/8)
ENFJ: 0.4444444444444444 (8/18)
ENTJ: 0.6 (9/15)
Balanced Accuracy: 0.4883500359317373

